"Cycle","Pair_Type","Weighting","N_pairs","Start_Year","End_Year","Sync_Start","Sync_End","Pct_Change_Per_Year","CI_Lower","CI_Upper","Trend_P","Interaction_P","Diff_vs_Americas","Diff_CI_Lower","Diff_CI_Upper","Pct_Change_Cum","Cum_CI_Lower","Cum_CI_Upper","N_Inc","N_Tot","Pct_Inc"
"Annual","Global","pairs",1081,1992,2022,0.188222023221884,0.221485060039998,0.589074474366928,0.327902037939905,0.859136234458251,0,NA,NA,NA,NA,17.6722342310078,9.83706113819715,25.7740870337475,89,1081,8.23311748381129
"Annual","Within Americas","pairs",153,1992,2022,0.17176549288049,0.234551573454727,1.21844575262315,0.473891858352632,2.1006935925602,0,NA,NA,NA,NA,36.5533725786944,14.216755750579,63.0208077768061,12,153,7.84313725490196
"Annual","Within Asia","pairs",406,1992,2022,0.194843902020293,0.235658939549914,0.698251901589236,0.274392523835934,1.17163060822702,0,0.270024388347239,-0.52019385103391,-1.55729322506263,0.342080481702555,20.9475570476771,8.23177571507803,35.1489182468106,32,406,7.88177339901478
"Annual","Americas-Asia","pairs",522,1992,2022,0.187895138835063,0.206631091393485,0.332383134454383,-0.00141806175373188,0.682526626049866,0.052,0.0368224224995658,-0.886062618168763,-1.82157229372255,-0.0649802173205158,9.9714940336315,-0.0425418526119565,20.475798781496,45,522,8.62068965517241
"Multiannual","Global","pairs",1035,1992,2022,0.298594693015214,0.342642128937276,0.491719343449254,0.304565440348534,0.679955967704235,0,NA,NA,NA,NA,14.7515803034776,9.13696321045603,20.3986790311271,202,1035,19.5169082125604
"Multiannual","Within Americas","pairs",153,1992,2022,0.346318425477179,0.390639701798435,0.426594650671433,0.00145364382373208,0.909379524188614,0.05,NA,NA,NA,NA,12.797839520143,0.0436093147119624,27.2813857256584,38,153,24.8366013071895
"Multiannual","Within Asia","pairs",378,1992,2022,0.286411837795304,0.32690236450271,0.471238980193545,0.146030397538326,0.800715283838931,0,0.999939057693548,0.0446443295221115,-0.491133918322355,0.590753459844304,14.1371694058063,4.38091192614978,24.0214585151679,75,378,19.8412698412698
"Multiannual","Americas-Asia","pairs",504,1992,2022,0.293244272789907,0.339876260501777,0.530069888699688,0.273219146762919,0.803372851114583,0,0.819395553510776,0.103475238028255,-0.425027069719087,0.607478465924878,15.9020966609906,8.19657440288758,24.1011855334375,89,504,17.6587301587302
