"Variant","Cycle","Group","N","Year_From","Year_To","Fit_Start","Fit_End","Pct_per_yr","CI_Lower","CI_Upper","P_value","N_Inc","N_Tot","FMI"
"full","Annual","Established transmission by 1990",32,1991,2023,1.31494260940839,0.78119872686645,-1.71691960113221,-2.99287885632253,-0.424177330409503,0.00939745413352028,2,32,0.0859927513458301
"full","Annual","First reported cases in 1991-1999",14,1991,2023,0.11546921744488,2.09037483665719,9.26113438713407,3.84487166752623,14.9598944643557,0.000639394108545734,8,14,0.0162910795633338
"full","Multiannual","Established transmission by 1990",32,1992,2022,1.96939369521178,1.77681859108487,-0.514330318851119,-1.95658243630531,0.949137819239532,0.488578273793621,4,32,0.201689547804178
"full","Multiannual","First reported cases in 1991-1999",13,1992,2022,0.929310235125195,3.04926484319915,4.15978228565761,0.746450243911712,7.68875945037311,0.0165112767286423,8,13,0.0223370622420473
"start_gt20","Annual","Established transmission by 1990",32,1991,2023,1.31494285919605,0.781199111940107,-1.7169186624223,-2.9928772251015,-0.424177102710477,0.00939745382471269,2,32,0.0859927759702456
"start_gt20","Annual","First reported cases in 1991-1999",14,1992,2023,0.888791228385589,1.22662128342123,0.943126780521908,-0.976438849879047,2.89990307237173,0.337569427093835,2,14,0.222042958535635
"start_gt20","Multiannual","Established transmission by 1990",32,1992,2022,1.96939392566251,1.77681897546968,-0.514329920443124,-1.95658167395224,0.949137842829972,0.488578499321601,4,32,0.201689481389284
"start_gt20","Multiannual","First reported cases in 1991-1999",13,1993,2022,1.74211514523237,3.31735865541561,2.55817817747124,-0.180822931783853,5.3723364588935,0.0674035772586479,5,13,0.104601612730485
