"Cycle","Pair_Type","Weighting","N_pairs","Start_Year","End_Year","Sync_Start","Sync_End","Pct_Change_Per_Year","CI_Lower","CI_Upper","Trend_P","Interaction_P","Diff_vs_Americas","Diff_CI_Lower","Diff_CI_Upper","Pct_Change_Cum","Cum_CI_Lower","Cum_CI_Upper","m","Within_SD_logitslope","Between_SD_logitslope","FMI","N_Inc","N_Tot","Pct_Inc"
"Annual","Global","pairs",1035,1992,2022,0.14839971077812,0.196613237510701,1.08296542447822,0.607959061897098,1.60569115300866,4.51561634534239e-06,NA,NA,NA,NA,32.4889627343466,18.2387718569129,48.1707345902598,50,0.00146426736823284,0.00183489161350794,0.615635417895164,30,1035,2.89855072463768
"Annual","Within Americas","pairs",300,1992,2022,0.151391371842529,0.196973450483849,1.00362563789813,0.263904560006095,1.90539746290339,0.00648084079082255,NA,NA,NA,NA,30.1087691369439,7.91713680018284,57.1619238871018,50,0.00271975592536662,0.00270707640303838,0.502614178763989,7,300,2.33333333333333
"Annual","Within Asia","pairs",210,1992,2022,0.15431017307253,0.210716879005938,1.21847023671594,0.335904056382028,2.34405058715097,0.00547319745811102,0.725946470585565,0.21484459881781,-1.02919444263975,1.57686528869923,36.5541071014782,10.0771216914609,70.3215176145292,50,0.00325073009240489,0.00310913371216509,0.482689839253669,9,210,4.28571428571429
"Annual","Americas-Asia","pairs",525,1992,2022,0.144326005252121,0.19076594492795,1.07257038431162,0.492003420915068,1.73051702082277,0.000162997793778324,0.897154152320775,0.06894474641349,-0.863952438418134,0.94816170615424,32.1771115293486,14.760102627452,51.9155106246832,50,0.00205594223008983,0.00202895863371223,0.498344874928698,14,525,2.66666666666667
"Multiannual","Global","pairs",990,1992,2022,0.167830971579575,0.280748929234147,2.24269208859012,1.64433232209501,2.91416121790766,4.42796268220267e-16,NA,NA,NA,NA,67.2807626577035,49.3299696628502,87.4248365372299,50,0.00178943439523657,0.00169738421789665,0.478558205728534,106,990,10.7070707070707
"Multiannual","Within Americas","pairs",300,1992,2022,0.169957081148317,0.328452700073721,3.10854202826827,2.01535772117678,4.40645487211489,3.84528816746125e-12,NA,NA,NA,NA,93.2562608480482,60.4607316353033,132.193646163447,50,0.00325066900822328,0.00238972423459084,0.355359448709314,39,300,13
"Multiannual","Within Asia","pairs",190,1992,2022,0.180603124238407,0.290301408709941,2.02466568493994,0.853721688724264,3.48802827906593,9.82239079169708e-05,0.210052035612864,-1.08387634332834,-2.8464242358878,0.761692809874611,60.7399705481981,25.6116506617279,104.640848371978,50,0.00408466625597111,0.0032275373172302,0.389066315577185,18,190,9.47368421052632
"Multiannual","Americas-Asia","pairs",500,1992,2022,0.161701887827974,0.248496724529601,1.78919446287817,1.0276537165874,2.66162867529537,3.38142384748965e-07,0.0350937024427376,-1.31934756539011,-2.80043255245872,0.0560329720521394,53.675833886345,30.829611497622,79.8488602588613,50,0.00251795738657634,0.00229246392202618,0.45813846828002,49,500,9.8
