"Cycle","pair_id","ref_prov","other_prov","hemi_type","mean_sync","sd_across_datasets","m"
"Annual","AUSTRALIA_COLOMBIA","AUSTRALIA","COLOMBIA","Between",0.264251219105536,NA,50
"Annual","AUSTRALIA_COSTA RICA","AUSTRALIA","COSTA RICA","Between",0.110692679779858,NA,50
"Annual","AUSTRALIA_DOMINICAN REPUBLIC","AUSTRALIA","DOMINICAN REPUBLIC","Between",0.170978402253327,NA,50
"Annual","AUSTRALIA_ECUADOR","AUSTRALIA","ECUADOR","Within",0.356520505406368,NA,50
"Annual","AUSTRALIA_EL SALVADOR","AUSTRALIA","EL SALVADOR","Between",0.0884888043511399,NA,50
"Annual","AUSTRALIA_FIJI","AUSTRALIA","FIJI","Within",0.265885458410213,NA,50
"Annual","AUSTRALIA_FRENCH GUIANA","AUSTRALIA","FRENCH GUIANA","Between",0.304640762572863,NA,50
"Annual","AUSTRALIA_FRENCH POLYNESIA","AUSTRALIA","FRENCH POLYNESIA","Within",0.261556677483917,NA,50
"Annual","AUSTRALIA_GUADELOUPE","AUSTRALIA","GUADELOUPE","Between",0.208435852782436,NA,50
"Annual","AUSTRALIA_GUATEMALA","AUSTRALIA","GUATEMALA","Between",0.10983432817697,NA,50
"Annual","AUSTRALIA_GUYANA","AUSTRALIA","GUYANA","Between",0.173772892433316,NA,50
"Annual","AUSTRALIA_HONDURAS","AUSTRALIA","HONDURAS","Between",0.123498556747006,NA,50
"Annual","AUSTRALIA_INDIA","AUSTRALIA","INDIA","Between",0.143928972464166,NA,50
"Annual","AUSTRALIA_INDONESIA","AUSTRALIA","INDONESIA","Between",0.407430114828957,NA,50
"Annual","AUSTRALIA_JAMAICA","AUSTRALIA","JAMAICA","Between",0.2058281369624,NA,50
"Annual","AUSTRALIA_LAO PEOPLE'S DEMOCRATIC REPUBLIC","AUSTRALIA","LAO PEOPLE'S DEMOCRATIC REPUBLIC","Between",0.0910327972241182,NA,50
"Annual","AUSTRALIA_MALAYSIA","AUSTRALIA","MALAYSIA","Between",0.18128890609862,NA,50
"Annual","AUSTRALIA_MALDIVES","AUSTRALIA","MALDIVES","Within",0.1784545521338,NA,50
"Annual","AUSTRALIA_MARTINIQUE","AUSTRALIA","MARTINIQUE","Between",0.26090150750838,NA,50
"Annual","AUSTRALIA_MEXICO","AUSTRALIA","MEXICO","Between",0.0963690720568398,NA,50
"Annual","AUSTRALIA_MYANMAR","AUSTRALIA","MYANMAR","Between",0.104197107000894,NA,50
"Annual","AUSTRALIA_NEW CALEDONIA","AUSTRALIA","NEW CALEDONIA","Within",0.299865967996311,NA,50
"Annual","AUSTRALIA_NICARAGUA","AUSTRALIA","NICARAGUA","Between",0.115978808228561,NA,50
"Annual","AUSTRALIA_PALAU","AUSTRALIA","PALAU","Between",0.168292290608107,NA,50
"Annual","AUSTRALIA_PANAMA","AUSTRALIA","PANAMA","Between",0.194357649069021,NA,50
"Annual","AUSTRALIA_PARAGUAY","AUSTRALIA","PARAGUAY","Within",0.302003794990432,NA,50
"Annual","AUSTRALIA_PERU","AUSTRALIA","PERU","Within",0.335158765714061,NA,50
"Annual","AUSTRALIA_PHILIPPINES","AUSTRALIA","PHILIPPINES","Between",0.119634503150058,NA,50
"Annual","AUSTRALIA_PUERTO RICO","AUSTRALIA","PUERTO RICO","Between",0.197534142875797,NA,50
"Annual","AUSTRALIA_SINGAPORE","AUSTRALIA","SINGAPORE","Between",0.0922213605840364,NA,50
"Annual","AUSTRALIA_SRI LANKA","AUSTRALIA","SRI LANKA","Between",0.205284251931646,NA,50
"Annual","AUSTRALIA_SURINAME","AUSTRALIA","SURINAME","Between",0.233454481958773,NA,50
"Annual","AUSTRALIA_TAIWAN","AUSTRALIA","TAIWAN","Between",0.0933416945539216,NA,50
"Annual","AUSTRALIA_THAILAND","AUSTRALIA","THAILAND","Between",0.0848485642608483,NA,50
"Annual","AUSTRALIA_TRINIDAD AND TOBAGO","AUSTRALIA","TRINIDAD AND TOBAGO","Between",0.140758193599257,NA,50
"Annual","AUSTRALIA_VANUATU","AUSTRALIA","VANUATU","Within",0.283617376173339,NA,50
"Annual","AUSTRALIA_VENEZUELA","AUSTRALIA","VENEZUELA","Between",0.189683752295397,NA,50
"Annual","AUSTRALIA_VIET NAM","AUSTRALIA","VIET NAM","Between",0.110037953164436,NA,50
"Annual","BANGLADESH_BARBADOS","BANGLADESH","BARBADOS","Within",0.199288975369681,NA,50
"Annual","BANGLADESH_BOLIVIA","BANGLADESH","BOLIVIA","Between",0.0548944668502054,NA,50
"Annual","BANGLADESH_BRAZIL","BANGLADESH","BRAZIL","Between",0.072015635993103,NA,50
"Annual","BANGLADESH_CAMBODIA","BANGLADESH","CAMBODIA","Within",0.447962172753515,NA,50
"Annual","BANGLADESH_CHINA","BANGLADESH","CHINA","Within",0.489402041273482,NA,50
"Annual","BANGLADESH_COLOMBIA","BANGLADESH","COLOMBIA","Within",0.103100569316024,NA,50
"Annual","BANGLADESH_COSTA RICA","BANGLADESH","COSTA RICA","Within",0.382476817597417,NA,50
"Annual","BANGLADESH_DOMINICAN REPUBLIC","BANGLADESH","DOMINICAN REPUBLIC","Within",0.337616184880043,NA,50
"Annual","BANGLADESH_ECUADOR","BANGLADESH","ECUADOR","Between",0.120207051388681,NA,50
"Annual","BANGLADESH_EL SALVADOR","BANGLADESH","EL SALVADOR","Within",0.401979787742953,NA,50
"Annual","BANGLADESH_FIJI","BANGLADESH","FIJI","Between",0.0555332700048954,NA,50
"Annual","BANGLADESH_FRENCH GUIANA","BANGLADESH","FRENCH GUIANA","Within",0.0877172668320851,NA,50
"Annual","BANGLADESH_FRENCH POLYNESIA","BANGLADESH","FRENCH POLYNESIA","Between",0.0622698452260561,NA,50
