"Cycle","Region","N","Power_Start","Power_End","Pct_Change","CI_Lower","CI_Upper","P_value","Interaction_P","Diff_AsiaMinusAmericas","Diff_CI_Lower","Diff_CI_Upper","Pct_Change_Cum_1990_2024","Cum_CI_Lower_1990_2024","Cum_CI_Upper_1990_2024","Weighting","m","Within_SD_logslope","Between_SD_logslope","FMI","N_Inc","N_Tot","Pct_Inc"
"Annual","Global",46,0.630098815558045,1.02189892100385,1.50204368569888,-0.784372047026227,3.84114967509737,0.199651336376504,NA,NA,NA,NA,66.0132473118282,-23.4891713913051,260.21565553776,"countries",50,0.0115079618144712,0.00162416726428412,0.0199126759140111,10,46,21.7391304347826
"Annual","Americas",25,0.536167833961925,0.836082368701061,1.39805736843557,-1.68480633681786,4.57759024832065,0.378132098940742,NA,NA,NA,NA,60.3273367513363,-43.8820591240998,358.05057185937,"countries",50,0.0156101588917897,0.00209495529005696,0.0180396861736003,5,25,20
"Annual","Asia",21,0.741921412696283,1.2431091023167,1.62597597351191,-1.75350420736583,5.12170341797702,0.349921932061635,0.923506510998076,0.227918605076338,-4.44530521357177,4.7920587628223,73.045695126464,-45.200026283231,446.438448247612,"countries",50,0.0170320796980748,0.00273696577075927,0.0256633059330115,5,21,23.8095238095238
"Multiannual","Global",45,1.56428582948147,2.01508400576278,0.814052427088785,-0.72971789590941,2.38183020488267,0.30306252873663,NA,NA,NA,NA,31.7396372475556,-22.0430739962256,122.627198271995,"countries",50,0.00747468587120977,0.0024433378384348,0.098277526029962,12,45,26.6666666666667
"Multiannual","Americas",25,1.62087289067816,1.74838302882476,0.25274069125989,-1.77271178075548,2.3199581126164,0.808454660869601,NA,NA,NA,NA,8.96139130643663,-45.563116383552,118.098171803632,"countries",50,0.0100283434310894,0.00277382492705569,0.0723879456887877,6,25,24
"Multiannual","Asia",20,1.4935520029856,2.3484602269353,1.52011367089906,-0.828622534406687,3.92447642796898,0.206427353518358,0.426512093168152,1.26737297963917,-1.90595053448043,4.31490347660239,67.0210625687735,-24.6408922856246,270.174703332915,"countries",50,0.0112120288068146,0.00406121023896125,0.118030985791972,6,20,30
