"Cycle","Region","N","Power_Start","Power_End","Pct_Change","CI_Lower","CI_Upper","P_value","Interaction_P","Diff_AsiaMinusAmericas","Diff_CI_Lower","Diff_CI_Upper","Pct_Change_Cum_1990_2024","Cum_CI_Lower_1990_2024","Cum_CI_Upper_1990_2024","Weighting","N_Inc","N_Tot","Pct_Inc"
"Annual","Global",47,0.350348181291499,0.984332666152201,3.48265303293973,1.233682436804,5.77780200969983,0.0024,NA,NA,NA,NA,220.255686224015,51.7229176810579,575.171878224006,"countries",19,47,40.4255319148936
"Annual","Americas",18,0.206148331684155,0.954785337389549,4.90687127326872,1.32870919106924,8.79705145155058,0.0084,NA,NA,NA,NA,409.72247855256,56.6409948886582,1657.85185677846,"countries",10,18,55.5555555555556
"Annual","Asia",29,0.439851536220196,1.00267238745316,2.60839736395686,-0.224833251795988,5.4741181202191,0.07,0.338888696163401,-2.29847390931186,-6.95527226002502,2.30593155487175,140.004149735309,-7.36742904496953,512.294990540045,"countries",9,29,31.0344827586207
"Multiannual","Global",46,1.56516063411255,2.73033744413502,1.7660116089415,0.421222819390367,3.12088097932705,0.0072,NA,NA,NA,NA,81.3400113742965,15.3631867477063,184.305261452329,"countries",20,46,43.4782608695652
"Multiannual","Americas",18,1.68854844385636,1.89954817643635,0.393260598532486,-1.70164669833788,2.56336626921352,0.7292,NA,NA,NA,NA,14.2759988710222,-44.2079328734232,136.448786570935,"countries",6,18,33.3333333333333
"Multiannual","Asia",28,1.48583989927725,3.26441625908416,2.65839038559337,0.935388077176498,4.4484646066271,0.002,0.110956318496926,2.26512978706088,-0.486975810952907,4.98357171164295,144.012075047738,37.2389993330167,339.207810515804,"countries",14,28,50
