"cycle","group","n_pairs","model_mean","mean_lower","mean_upper","difference","diff_lower","diff_upper","p_value"
"Annual","Between",408,0.13494224658011,0.121344359068597,0.149804124145549,NA,NA,NA,NA
"Annual","Within",627,0.260020929510558,0.23815267594713,0.283150908819381,NA,NA,NA,NA
"Annual","Difference",NA,NA,NA,NA,0.125078682930448,0.0993695053897334,0.151307069482318,8.97451106827905e-17
"Multiannual","Between",396,0.243613132323912,0.223645067327566,0.26475604594661,NA,NA,NA,NA
"Multiannual","Within",594,0.258668231511847,0.23888078136834,0.279492866135679,NA,NA,NA,NA
"Multiannual","Difference",NA,NA,NA,NA,0.0150550991879347,0.00114774523722788,0.0294086482993847,0.0412173454431582
