"adm_0_name","ISO_A0","od_region","growth_pct_per_year","lwr","upr"
"ARGENTINA","ARG","South America",50.0377430034304,19.3733537508641,88.5791394664613
"BOLIVIA","BOL","South America",3.32733262935949,-1.42204781380237,8.30553314936044
"BRAZIL","BRA","South America",12.9340555161428,9.05904664475603,16.946748460656
"CHILE","CHL","South America",0.320800814359168,-10.3767246075645,12.295193764853
"COLOMBIA","COL","South America",4.49919464250392,2.1997803242461,6.85034396635795
"ECUADOR","ECU","South America",4.82468032404932,2.14724305154899,7.57229736972822
"FRENCH GUIANA","GUF","South America",2.73715622869082,-2.60266919862229,8.36973850426221
"GUYANA","GUY","South America",49.9129258780234,31.130248132546,71.3859743679674
"PARAGUAY","PRY","South America",14.4917632513054,7.6674636862895,21.7486082015157
"PERU","PER","South America",17.1029497468759,12.0471599213918,22.3868668250042
"SURINAME","SUR","South America",-3.83571582507883,-8.61212797828255,1.19033681709315
"URUGUAY","URY","South America",17.722985511608,-2.64005203586269,42.3449951192573
"VENEZUELA","VEN","South America",-0.327390334956346,-3.05549714722873,2.47748789354032
"BELIZE","BLZ","North & Central America",11.2345797375847,5.8702935426505,16.8706661270615
"COSTA RICA","CRI","North & Central America",2.66798128233769,-0.611281501148531,6.05544109829981
"EL SALVADOR","SLV","North & Central America",3.82934518012472,0.542954070748314,7.22315671118667
"GUATEMALA","GTM","North & Central America",10.5569824014677,5.07905938145552,16.3204774544788
"HONDURAS","HND","North & Central America",5.11303989049485,1.71921652240234,8.62009689769305
"MEXICO","MEX","North & Central America",8.99566964597507,5.56436643427496,12.5385052064053
"NICARAGUA","NIC","North & Central America",10.3019981517865,7.27838083884293,13.4108354464603
"PANAMA","PAN","North & Central America",6.2546078480257,0.920708145439408,11.8704168491105
"UNITED STATES OF AMERICA","USA","North & Central America",16.2952201904966,10.5486871510067,22.3404690521729
"ANGUILLA","AIA","Caribbean",2.83799168710794,-3.79509076589531,9.92840821150745
"ANTIGUA AND BARBUDA","ATG","Caribbean",17.2198143216452,4.30305557694768,31.7361681649315
"ARUBA","ABW","Caribbean",4.58822805565162,-2.85378665887421,12.6003481927814
"BAHAMAS","BHS","Caribbean",2.81829927357549,-13.273437937957,21.895788489203
"BARBADOS","BRB","Caribbean",3.48382407192087,-0.271652352130403,7.38072069899609
"BERMUDA","BMU","Caribbean",5.13344111086647,-1.01226284761453,11.6607042223478
"BONAIRE, SAINT EUSTATIUS AND SABA","BES","Caribbean",-23.6847151162323,-36.0917606322923,-8.86898521204685
"CAYMAN ISLANDS","CYM","Caribbean",8.50460639321027,1.87424242414127,15.5664997196148
"CUBA","CUB","Caribbean",2.89029446250848,-4.47239809982479,10.8204590506138
"CURACAO","CUW","Caribbean",3.7582655539967,-5.52816334049641,13.957535403655
"DOMINICA","DMA","Caribbean",8.3016531920104,1.12664398445996,15.9857345401962
"DOMINICAN REPUBLIC","DOM","Caribbean",6.94192024734637,3.88807117577403,10.0855389531644
"GRENADA","GRD","Caribbean",14.3337541606529,10.2119615609648,18.6096967636093
"GUADELOUPE","GLP","Caribbean",9.27804082694315,-0.279865300454385,19.7520464944725
"HAITI","HTI","Caribbean",30.9500763128483,13.2208734276442,51.4554866713643
"JAMAICA","JAM","Caribbean",9.25943268710989,3.23430799223539,15.6362052817457
"MARTINIQUE","MTQ","Caribbean",8.83246798559454,0.680685541816173,17.6442733190968
"MONTSERRAT","MSR","Caribbean",0.774040311541202,-7.15257751054987,9.37737341998965
"PUERTO RICO","PRI","Caribbean",-3.62361256194874,-6.59382403818284,-0.558951697087939
"SAINT BARTHELEMY","BLM","Caribbean",11.1011800059282,1.73396599269888,21.3308856905817
"SAINT KITTS AND NEVIS","KNA","Caribbean",11.8141750849078,5.45188934770244,18.5603200403048
"SAINT LUCIA","LCA","Caribbean",8.4433563911481,1.37574963499065,16.0036950426507
"SAINT MARTIN","MAF","Caribbean",11.8133983946964,3.51032553921378,20.7825016049704
"SAINT VINCENT AND THE GRENADINES","VCT","Caribbean",11.6763060043921,3.16681877070462,20.8876795019299
"SINT MAARTEN","SXM","Caribbean",7.56070595393998,-2.79354742494107,19.0178754478936
"TRINIDAD AND TOBAGO","TTO","Caribbean",-3.28682781747544,-7.29517914720025,0.894835754640932
"TURKS AND CAICOS ISLANDS","TCA","Caribbean",9.5695589844234,0.951221452121298,18.9236552401196
"VIRGIN ISLANDS (UK)","VGB","Caribbean",4.45688456058726,-5.18623868878945,15.0807707785107
"VIRGIN ISLANDS (US)","VIR","Caribbean",-5.17628861861548,-16.1463667717454,7.22894040458111
"BRUNEI DARUSSALAM","BRN","East & Southeast Asia",7.73331835418323,-0.415699110193657,16.5491727099311
"CAMBODIA","KHM","East & Southeast Asia",2.32875445471745,-0.470422362637657,5.20665551707407
"CHINA","CHN","East & Southeast Asia",10.8055828910289,2.42030340535204,19.8773757897214
"HONG KONG","HKG","East & Southeast Asia",5.78905456322314,-4.5025629226102,17.189784436951
"INDONESIA","IDN","East & Southeast Asia",3.71957738688369,2.04166764017968,5.42507763836082
"LAO PEOPLE'S DEMOCRATIC REPUBLIC","LAO","East & Southeast Asia",4.90058725359459,1.46803839533984,8.44925535344143
"MACAU","MAC","East & Southeast Asia",-6.3495591085585,-20.7722602717891,10.6986657608568
"MALAYSIA","MYS","East & Southeast Asia",5.9659157108265,4.19884473157315,7.76295381547132
"MYANMAR","MMR","East & Southeast Asia",2.85774448494185,0.786637536785939,4.97141147970248
"PHILIPPINES","PHL","East & Southeast Asia",8.2971332324983,5.44504037989075,11.2263699091358
"SINGAPORE","SGP","East & Southeast Asia",5.19806530425937,2.52038243300896,7.94568534691735
"TAIWAN","TWN","East & Southeast Asia",10.0839077998199,-0.305568096637421,21.5561042388618
"THAILAND","THA","East & Southeast Asia",0.298151278474368,-1.54982307157259,2.18081331832523
"TIMOR-LESTE","TLS","East & Southeast Asia",13.491785996153,7.87765921916057,19.3980809541784
"VIET NAM","VNM","East & Southeast Asia",2.36544883092733,0.247773194211476,4.52785912816929
"BANGLADESH","BGD","South Asia",36.2588064520298,17.5252413880786,57.9785084161082
"BHUTAN","BTN","South Asia",6.63619678638352,-2.01194338178998,16.0475965899612
"INDIA","IND","South Asia",13.0454598837854,6.07385550921904,20.4752663980039
"MALDIVES","MDV","South Asia",6.25615807786823,2.76519724698334,9.8657077681068
"NEPAL","NPL","South Asia",55.331483197028,38.2846117964963,74.4797874379246
"PAKISTAN","PAK","South Asia",21.0434632122349,11.7026648863734,31.165357615376
"SRI LANKA","LKA","South Asia",10.9243198245552,7.20523362268501,14.7724258672441
"AMERICAN SAMOA","ASM","Pacific Islands",-0.980395385921318,-7.58768775595745,6.09930495014266
"AUSTRALIA","AUS","Pacific Islands",4.06724474954712,1.33851007028414,6.86945586876018
"COOK ISLANDS","COK","Pacific Islands",-3.7123692107335,-9.57227004553731,2.52726511744703
"FIJI","FJI","Pacific Islands",7.33600036759749,-1.70390410244168,17.2072692176889
"FRENCH POLYNESIA","PYF","Pacific Islands",-3.21583246974902,-13.7510566426579,8.60625904382508
"KIRIBATI","KIR","Pacific Islands",7.84767676079607,-1.45452594606296,18.0279611454817
"MARSHALL ISLANDS","MHL","Pacific Islands",15.9892734743531,3.54570793498725,29.9282397060366
"MICRONESIA (FEDERATED STATES OF)","FSM","Pacific Islands",15.5113477446291,1.99637249994453,30.8171176164905
"NAURU","NRU","Pacific Islands",7.77716358320788,-4.82826635833068,22.0521739551009
"NEW CALEDONIA","NCL","Pacific Islands",0.769167245237434,-5.16460024116316,7.07420534021039
"NIUE","NIU","Pacific Islands",7.42326122558032,-7.25717317865343,24.4274888727369
"NORTHERN MARIANA ISLANDS","MNP","Pacific Islands",3.72058639963728,-9.89400398982878,19.3922770896429
"PALAU","PLW","Pacific Islands",3.14155822469182,-3.65218312293555,10.4143443809561
"PAPUA NEW GUINEA","PNG","Pacific Islands",-12.7706241395533,-25.4244723265887,2.03030739956718
"SAMOA","WSM","Pacific Islands",21.9072538835516,0.928787246277851,47.2461817376765
"SOLOMON ISLANDS","SLB","Pacific Islands",11.1294860191312,1.18588635108947,22.0502493798959
"TOKELAU","TKL","Pacific Islands",-1.02128515037546,-11.2366085710053,10.3696674447158
"TONGA","TON","Pacific Islands",4.40205992952152,-3.69218977757254,13.1765958789201
"TUVALU","TUV","Pacific Islands",1.81487689198969,-8.11672536384394,12.8199794530602
"VANUATU","VUT","Pacific Islands",3.17310409666607,-4.17965777797403,11.0900792263568
"WALLIS AND FUTUNA","WLF","Pacific Islands",4.67125128221466,-5.62620932649477,16.09230451374
"BURKINA FASO","BFA","Sub-Saharan Africa",81.1588095361243,39.9083321754672,134.571549544213
"COTE D'IVOIRE","CIV","Sub-Saharan Africa",37.0632538015247,17.6842027911492,59.6334520445429
"ERITREA","ERI","Sub-Saharan Africa",5.31945818134374,-0.854636465354297,11.8780331844335
"ETHIOPIA","ETH","Sub-Saharan Africa",23.7632894356219,1.05109086937685,51.5802717233939
"KENYA","KEN","Sub-Saharan Africa",26.9336603783694,15.9013138948186,39.0161474068631
"MAYOTTE","MYT","Sub-Saharan Africa",17.1439133746881,-3.06588467037067,41.5672531190048
"REUNION","REU","Sub-Saharan Africa",24.0742136595993,10.6456816576496,39.1325017354041
"SENEGAL","SEN","Sub-Saharan Africa",14.9241523255315,0.255286257223042,31.7392955604914
"SEYCHELLES","SYC","Sub-Saharan Africa",24.7527646122998,8.23899389086797,43.7860027976936
"FRANCE","FRA","Europe, Middle East & North Africa",50.006445188381,37.9847881445348,63.0754657860159
"OMAN","OMN","Europe, Middle East & North Africa",54.4833436836832,29.5728033861872,84.1829678143328
"SAUDI ARABIA","SAU","Europe, Middle East & North Africa",11.2945338595999,7.627485528204,15.0865246571214
"SUDAN","SDN","Europe, Middle East & North Africa",21.1627242620208,8.80957779763751,34.9183228878701
"YEMEN","YEM","Europe, Middle East & North Africa",18.8807374474723,9.0578359626271,29.5883932714192
