"Cycle","Scope","pct_change_per_year","ci_lower","ci_upper"
"Annual","Global",1.50204368569888,-0.784372047026227,3.84114967509737
"Annual","Americas",1.39805736843557,-1.68480633681786,4.57759024832065
"Annual","Asia",1.62597597351191,-1.75350420736583,5.12170341797702
"Multiannual","Global",0.814052427088785,-0.72971789590941,2.38183020488267
"Multiannual","Americas",0.25274069125989,-1.77271178075548,2.3199581126164
"Multiannual","Asia",1.52011367089906,-0.828622534406687,3.92447642796898
