"Cycle","hemisphere_pairing","pair_id","mean_sync"
"Annual","Between","BOLIVIA_GUATEMALA",0.0592415317102645
"Annual","Between","BOLIVIA_GUYANA",0.144961136110836
"Annual","Between","BOLIVIA_HONDURAS",0.0920947917468941
"Annual","Between","BOLIVIA_INDIA",0.119013205624279
"Annual","Between","BOLIVIA_INDONESIA",0.414350632204816
"Annual","Between","BOLIVIA_JAMAICA",0.162528906372032
"Annual","Between","BOLIVIA_LAO PEOPLE'S DEMOCRATIC REPUBLIC",0.0512359634939528
"Annual","Between","BOLIVIA_MALAYSIA",0.15355612102862
"Annual","Between","BOLIVIA_MARTINIQUE",0.260005883879016
"Annual","Between","BOLIVIA_MEXICO",0.0771207505074095
"Annual","Between","BOLIVIA_MYANMAR",0.0887341152034902
"Annual","Between","BOLIVIA_NICARAGUA",0.0851202901160417
"Annual","Between","BOLIVIA_PALAU",0.117675149727708
"Annual","Between","BOLIVIA_PANAMA",0.175138186348559
"Annual","Between","BOLIVIA_PHILIPPINES",0.0618703870334001
"Annual","Between","BOLIVIA_PUERTO RICO",0.211124422125311
"Annual","Between","BOLIVIA_SINGAPORE",0.0900811820462855
"Annual","Between","BOLIVIA_SRI LANKA",0.144437105901565
"Annual","Between","BOLIVIA_SURINAME",0.250098748915934
"Annual","Between","BOLIVIA_TAIWAN",0.110087022294789
"Annual","Between","BOLIVIA_THAILAND",0.0806173088144283
"Annual","Between","BOLIVIA_TRINIDAD AND TOBAGO",0.131272804583005
"Annual","Between","BOLIVIA_VENEZUELA",0.231236911586329
"Annual","Between","BOLIVIA_VIET NAM",0.0755696564202892
"Annual","Between","BRAZIL_CAMBODIA",0.20000108709099
"Annual","Between","BRAZIL_CHINA",0.0257138336114596
"Annual","Between","BRAZIL_COLOMBIA",0.214053581964046
"Annual","Between","BRAZIL_COSTA RICA",0.124942211313755
"Annual","Between","BRAZIL_DOMINICAN REPUBLIC",0.0691132393118953
"Annual","Between","BRAZIL_EL SALVADOR",0.141952136511023
"Annual","Between","BRAZIL_FRENCH GUIANA",0.344022304444157
"Annual","Between","BRAZIL_GUADELOUPE",0.123338711663263
"Annual","Between","BRAZIL_GUATEMALA",0.112003713626691
"Annual","Between","BRAZIL_GUYANA",0.167378288161808
"Annual","Between","BRAZIL_HONDURAS",0.136155451170037
"Annual","Between","BRAZIL_INDIA",0.0674613697823283
"Annual","Between","BRAZIL_INDONESIA",0.503920949715295
"Annual","Between","BRAZIL_JAMAICA",0.0980810122617236
"Annual","Between","BRAZIL_LAO PEOPLE'S DEMOCRATIC REPUBLIC",0.16620026210592
"Annual","Between","BRAZIL_MALAYSIA",0.130244424039367
"Annual","Between","BRAZIL_MARTINIQUE",0.226433170239974
"Annual","Between","BRAZIL_MEXICO",0.0522288224119468
"Annual","Between","BRAZIL_MYANMAR",0.21729383314161
"Annual","Between","BRAZIL_NICARAGUA",0.058970476399624
"Annual","Between","BRAZIL_PALAU",0.160220254368742
"Annual","Between","BRAZIL_PANAMA",0.0874984908040653
"Annual","Between","BRAZIL_PHILIPPINES",0.0811111804594568
"Annual","Between","BRAZIL_PUERTO RICO",0.121487032490763
"Annual","Between","BRAZIL_SINGAPORE",0.135267036222631
"Annual","Between","BRAZIL_SRI LANKA",0.142467530666827
"Annual","Between","BRAZIL_SURINAME",0.199446971974852
"Annual","Between","BRAZIL_TAIWAN",0.0437335598895568
"Annual","Between","BRAZIL_THAILAND",0.224253668346237
"Annual","Between","BRAZIL_TRINIDAD AND TOBAGO",0.0664785136107377
"Annual","Between","BRAZIL_VENEZUELA",0.171044232452416
"Annual","Between","BRAZIL_VIET NAM",0.072718963210414
"Annual","Between","CAMBODIA_ECUADOR",0.214994712077233
"Annual","Between","CAMBODIA_FIJI",0.118819389459324
"Annual","Between","CAMBODIA_FRENCH POLYNESIA",0.115056257953201
"Annual","Between","CAMBODIA_MALDIVES",0.28145285023081
"Annual","Between","CAMBODIA_NEW CALEDONIA",0.132433193132217
"Annual","Between","CAMBODIA_PARAGUAY",0.075158386921975
"Annual","Between","CAMBODIA_PERU",0.13499991929691
"Annual","Between","CAMBODIA_VANUATU",0.143640622405404
"Annual","Between","CHINA_ECUADOR",0.0840315371915074
"Annual","Between","CHINA_FIJI",0.0581389362718762
"Annual","Between","CHINA_FRENCH POLYNESIA",0.111379671053143
"Annual","Between","CHINA_MALDIVES",0.203525682944441
"Annual","Between","CHINA_NEW CALEDONIA",0.0485836057416548
"Annual","Between","CHINA_PARAGUAY",0.0928079787532801
"Annual","Between","CHINA_PERU",0.0543156903381378
"Annual","Between","CHINA_VANUATU",0.0902928446754077
"Annual","Between","COLOMBIA_ECUADOR",0.2094030394086
"Annual","Between","COLOMBIA_FIJI",0.221796586245819
"Annual","Between","COLOMBIA_FRENCH POLYNESIA",0.176685296732905
"Annual","Between","COLOMBIA_MALDIVES",0.16771675700488
"Annual","Between","COLOMBIA_NEW CALEDONIA",0.259146635039065
"Annual","Between","COLOMBIA_PARAGUAY",0.247195930450303
"Annual","Between","COLOMBIA_PERU",0.218134886838379
"Annual","Between","COLOMBIA_VANUATU",0.197940104956619
"Annual","Between","COSTA RICA_ECUADOR",0.213424048483585
"Annual","Between","COSTA RICA_FIJI",0.0824174626221943
"Annual","Between","COSTA RICA_FRENCH POLYNESIA",0.12125907563417
"Annual","Between","COSTA RICA_MALDIVES",0.247273847918167
"Annual","Between","COSTA RICA_NEW CALEDONIA",0.0962369598065502
"Annual","Between","COSTA RICA_PARAGUAY",0.0931015571364216
"Annual","Between","COSTA RICA_PERU",0.0844482182532091
"Annual","Between","COSTA RICA_VANUATU",0.164902264171258
"Annual","Between","DOMINICAN REPUBLIC_ECUADOR",0.0946760367873959
"Annual","Between","DOMINICAN REPUBLIC_FIJI",0.120891289765829
