"od_region","growth_pct_per_year","lwr","upr"
"Caribbean",2.53185066155579,-0.243950845775898,5.38489133456646
"East & Southeast Asia",4.43598235230929,3.1474429209325,5.74061848777483
"Europe, Middle East & North Africa",19.0491166242078,12.5052474787008,25.9736100015012
"North & Central America",8.0748522559718,5.67425152725956,10.5299874031957
"Pacific Islands",3.9146161907726,-0.321448877064501,8.33070240715972
"South America",11.6544295943247,8.17759996001521,15.243004583592
"South Asia",15.3142141992935,10.0883548724471,20.7881434126925
"Sub-Saharan Africa",24.3899859806767,15.421635422768,34.0551843300324
