"metric","adm_0_name","ISO_A0","od_region","m","point","lwr","upr","within_sd_log","between_sd_log"
"country_growth_since_emergence_pct","AMERICAN SAMOA","ASM","Pacific Islands",50,-3.6295004401606,-11.0333552157667,4.39050734055448,0.0368831425117317,0.0171619642822166
"country_growth_since_emergence_pct","ANGUILLA","AIA","Caribbean",50,2.83799168710794,-3.79509076589531,9.92840821150745,0.0340182096736456,0
"country_growth_since_emergence_pct","ANTIGUA AND BARBUDA","ATG","Caribbean",50,17.2198143216452,4.30305557694768,31.7361681649315,0.0595675585544291,0
"country_growth_since_emergence_pct","ARGENTINA","ARG","South America",50,50.0287186903023,15.360528901899,95.1154059894687,0.134065971343274,0
"country_growth_since_emergence_pct","ARUBA","ABW","Caribbean",50,3.04798636391983,-5.27313407637225,12.1000614780177,0.0429584994402922,0
"country_growth_since_emergence_pct","AUSTRALIA","AUS","Pacific Islands",50,4.06724474954712,1.33851007028414,6.86945586876018,0.0135567678195105,0
"country_growth_since_emergence_pct","BAHAMAS","BHS","Caribbean",50,2.81829927357549,-13.273437937957,21.895788489203,0.086839933109291,0
"country_growth_since_emergence_pct","BANGLADESH","BGD","South Asia",50,36.1785239237371,14.45230670926,62.0289788056097,0.0886794355824889,0
"country_growth_since_emergence_pct","BARBADOS","BRB","Caribbean",50,3.48382407192087,-0.271652352130403,7.38072069899609,0.0188602166169715,0
"country_growth_since_emergence_pct","BELIZE","BLZ","North & Central America",50,11.2345797375847,5.8702935426505,16.8706661270615,0.0252181181422475,0
"country_growth_since_emergence_pct","BERMUDA","BMU","Caribbean",50,0.878681463740638,-6.02308469473318,8.28732078304895,0.0361585475731738,0
"country_growth_since_emergence_pct","BHUTAN","BTN","South Asia",50,-1.16367913179157,-13.8853289925971,13.4373296499465,0.070299947608603,0
"country_growth_since_emergence_pct","BOLIVIA","BOL","South America",50,3.32733262935949,-1.42204781380237,8.30553314936044,0.0240077410718073,0
"country_growth_since_emergence_pct","BONAIRE, SAINT EUSTATIUS AND SABA","BES","Caribbean",50,-23.6847151162323,-36.0917606322923,-8.86898521204685,0.0905245969288456,0
"country_growth_since_emergence_pct","BRAZIL","BRA","South America",50,12.9340555161428,9.05904664475603,16.946748460656,0.0178139094608837,0
"country_growth_since_emergence_pct","BRUNEI DARUSSALAM","BRN","East & Southeast Asia",50,6.92331817634784,-1.93621543564434,16.5832628286717,0.042643154710824,0.0112295449146322
"country_growth_since_emergence_pct","BURKINA FASO","BFA","Sub-Saharan Africa",50,79.6051952034976,4.94063318292617,207.393096131374,0.274171512440748,0
"country_growth_since_emergence_pct","CAMBODIA","KHM","East & Southeast Asia",50,2.32875445471745,-0.470422362637657,5.20665551707407,0.014151115857883,4.9499929775443e-05
