"threshold","variant","Cycle","Region","N","Power_Start","Power_End","Pct_Change","CI_Lower","CI_Upper","P_value","Interaction_P","Diff_AsiaMinusAmericas","Diff_CI_Lower","Diff_CI_Upper","Pct_Change_Cum_1990_2024","Cum_CI_Lower_1990_2024","Cum_CI_Upper_1990_2024","Weighting","m","Within_SD_logslope","Between_SD_logslope","FMI","N_Inc","N_Tot","Pct_Inc"
"none","fixed_support","Annual","Americas",23,0.0832039339578381,0.676370765800556,6.76742785988036,1.67163299125084,12.1186245999973,0.00868093540961628,NA,NA,NA,NA,826.655970024526,75.7086597243725,4787.01745337476,"countries",50,0.0248734895266511,0.00195511153671402,0.00626241050067301,8,21,38.0952380952381
"none","fixed_support","Annual","Asia",20,0.545891670874033,1.10825647502001,2.2375495173625,-2.55734858349992,7.26839201693985,0.366568830686243,0.214928183387666,-4.52987834251786,-11.8177833007321,2.63720661653322,112.204540646981,-58.5552858322325,986.526182540729,"countries",50,0.0244779724421002,0.00120294555849142,0.00245738211874442,2,19,10.5263157894737
"none","fixed_support","Multiannual","Global",40,0.879668144711184,1.88656723148504,3.02981783197862,0.892805015847342,5.21209476556201,0.00525306486137925,NA,NA,NA,NA,175.892367616232,35.2840756742307,462.642706686202,"countries",50,0.0105606374676618,0.00166591081257916,0.024753565787585,13,34,38.2352941176471
"none","fixed_support","Multiannual","Americas",21,0.742920833300857,1.84239549791887,3.55493056198359,0.291202827840231,6.92486819711799,0.032522940411717,NA,NA,NA,NA,227.949203790996,10.3917351488499,874.263880553458,"countries",50,0.0161347874992575,0.00254942400433096,0.0248334249366293,5,19,26.3157894736842
"none","fixed_support","Multiannual","Asia",19,1.03080990995418,1.93538862121607,2.45252749017006,-0.233762060323506,5.21114763764827,0.0738836832071762,0.615247831283168,-1.10240307181353,-5.53583465912308,3.23603962297287,127.914005166486,-7.6488605955959,462.470523764344,"countries",50,0.0132770571307746,0.00270728999114411,0.0406843703785744,8,15,53.3333333333333
"20%","fixed_support","Annual","Global",43,0.298095018770555,0.877491213338782,4.63989193540626,1.09686036777787,8.3070922719118,0.00986064980486482,NA,NA,NA,NA,367.420336848701,44.9041182729603,1407.76785300327,"countries",50,0.0175259249237205,0.00129541379333066,0.00554168575218795,10,40,25
"20%","fixed_support","Annual","Americas",23,0.0831421637492717,0.676502416085778,6.77055517117839,1.6699520705256,12.1270465796406,0.00871371886647399,NA,NA,NA,NA,827.579263332508,75.6099179223508,4799.51421846756,"countries",50,0.0248967088433493,0.00195802844180757,0.00626935648381675,8,21,38.0952380952381
"20%","fixed_support","Annual","Asia",20,0.545290802045031,1.10862833017974,2.2421400620426,-2.55656564682043,7.27716314449911,0.365965011562918,0.215483960304909,-4.5284151091358,-11.5929073104155,2.84737680032638,112.528737775759,-58.54396226689,989.55092793353,"countries",50,0.0244967666904032,0.00120370156346696,0.00245669954468726,2,19,10.5263157894737
"20%","fixed_support","Multiannual","Global",40,0.783313114330702,1.85415634464771,3.48675218910977,1.32355107593318,5.69613643549043,0.00147357701539107,NA,NA,NA,NA,220.687291314092,56.3700841916742,557.672721364722,"countries",50,0.0106369975574863,0.00172022356567404,0.025983529246778,11,34,32.3529411764706
"20%","fixed_support","Multiannual","Americas",21,0.602045838660031,1.79602513598512,4.29344969014298,0.982979916037841,7.71244478340958,0.0106399614417853,NA,NA,NA,NA,317.579445829165,39.4563179107202,1150.37428344139,"countries",50,0.0162776624816279,0.00240270781007058,0.0217406253538571,4,19,21.0526315789474
"20%","fixed_support","Multiannual","Asia",19,0.983661155861444,1.91840662790637,2.60239668415521,-0.106603517795201,5.38486202346806,0.059857353541573,0.445634483087342,-1.69105300598777,-5.96143643879659,2.7297102107343,139.527393692134,-3.56148482156137,494.921771895695,"countries",50,0.0133340601493432,0.00289766963994568,0.0459559269999955,7,15,46.6666666666667
"30%","fixed_support","Annual","Global",43,0.298084288556493,0.877499535950946,4.64002199129092,1.09688456219617,8.30733557967895,0.00986077737902698,NA,NA,NA,NA,367.440089625328,44.9052973410264,1407.88302014043,"countries",50,0.0175264393785954,0.00129540061501634,0.0055412501088538,10,40,25
"30%","fixed_support","Annual","Americas",23,0.0831401124125911,0.676506965605144,6.77065993310342,1.66989780570126,12.1273264613348,0.00871479034533473,NA,NA,NA,NA,827.610208222871,75.6067311582583,4799.93004666674,"countries",50,0.0248974994336694,0.0019578388122986,0.00626775424118573,8,21,38.0952380952381
"30%","fixed_support","Annual","Asia",20,0.545270091121981,1.10864099184862,2.24229790839161,-2.55654224143173,7.27746861660516,0.365944636827168,0.215503350712859,-4.52836202471181,-11.5823088480895,2.70394272254911,112.539893872018,-58.5436237099622,989.656417895459,"countries",50,0.0244974054250604,0.00120424452464663,0.00245878300300477,2,19,10.5263157894737
"30%","fixed_support","Multiannual","Global",40,0.881021556428339,1.88731294609475,3.02504852347769,0.881975787111733,5.21364733838765,0.00545829532221852,NA,NA,NA,NA,175.45847784471,34.7912492501891,462.92506701,"countries",50,0.0105798813859799,0.00174064748171774,0.0268677977664911,13,34,38.2352941176471
"30%","fixed_support","Multiannual","Americas",21,0.744332147071752,1.8424998865727,3.54759744828099,0.27084179577137,6.93143435605843,0.0336019910442159,NA,NA,NA,NA,227.160532956816,9.63228664268046,876.300117441126,"countries",50,0.0161776566526928,0.00270282995251272,0.0276830691942833,5,19,26.3157894736842
"30%","fixed_support","Multiannual","Asia",19,1.03209932466457,1.93684316977701,2.45056190923731,-0.23852883691885,5.21213764340296,0.0744238842981252,0.618008206090875,-1.09703553904368,-5.3798685385901,3.33480228537708,127.765383984404,-7.79876694780044,462.650502864675,"countries",50,0.0132812340012991,0.00275818258448491,0.0421378479653063,8,15,53.3333333333333
"50%","fixed_support","Annual","Global",43,0.298124443080543,0.877468253405627,4.63953165383473,1.09679884972926,8.30641236236536,0.00986017979718188,NA,NA,NA,NA,367.365621822089,44.9011203520757,1407.44607032998,"countries",50,0.0175244995156244,0.00129508433993117,0.00553977905456224,10,40,25
"50%","fixed_support","Annual","Americas",23,0.0831479771786756,0.676490042969453,6.77026085484054,1.67011827330668,12.1262451211657,0.00871052349465694,NA,NA,NA,NA,827.492332654787,75.6196787206623,4798.32365825987,"countries",50,0.0248945180910705,0.00195732084994352,0.00626595021881167,8,21,38.0952380952381
"50%","fixed_support","Annual","Asia",20,0.54534737886769,1.10859319540723,2.24170731494295,-2.55664655950562,7.27634410753324,0.3660225931553,0.215431692624001,-4.52855353989758,-11.804314099409,2.68429373668353,112.498155451776,-58.5451326412252,989.268135382155,"countries",50,0.024494997273937,0.00120432807770642,0.00245960572392114,2,19,10.5263157894737
"50%","fixed_support","Multiannual","Global",40,0.879667832468761,1.88656705474099,3.02981888211633,0.892805252738582,5.2120966632907,0.00525306634564221,NA,NA,NA,NA,175.892463225941,35.2840864739981,462.643051734744,"countries",50,0.0105606415435766,0.00166591067104837,0.024753543051262,13,34,38.2352941176471
"50%","fixed_support","Multiannual","Americas",21,0.742920550491256,1.84239532285953,3.55493169971544,0.291202718056094,6.92487066367669,0.0325229512992829,NA,NA,NA,NA,227.949326296247,10.3917310402652,874.264644685508,"countries",50,0.0161347936933232,0.00254942430332328,0.0248334120234681,5,19,26.3157894736842
"50%","fixed_support","Multiannual","Asia",19,1.03080956518074,1.93538844260998,2.45252844449244,-0.233762176527641,5.21114972023111,0.0738836860861612,0.615247915148841,-1.10240325522299,-5.4473635422865,3.12052031811931,127.914077347409,-7.64886425288379,462.470902310944,"countries",50,0.0132770623044051,0.00270729136093864,0.0406843794566148,8,15,53.3333333333333
