"model","run","Parameter","Type","Median","CI_0.025","CI_0.975","Mean","SD"
"weekly",NA,"(Intercept)","Fixed effect",0.878330499370232,0.684384732864133,1.07032201343178,0.878077054097757,0.0983810914321931
"weekly",NA,"size for the nbinomial observations (1/overdispersion)","Hyperparameter",21.4923113961414,19.5673474574847,23.6431578857808,21.5213934691966,1.03539173526128
"weekly",NA,"Precision for time_seq","Hyperparameter",0.31077584457458,0.278049430588131,0.344429655602269,0.310905031818182,0.0168713080416231
"weekly",NA,"Rho for time_seq","Hyperparameter",0.980031976855636,0.97774093116795,0.982257306320584,0.980022792195058,0.00114800469500461
"weekly",NA,"Precision for week_shared","Hyperparameter",171.000927382549,83.6069272437574,358.447988120522,183.741107783197,70.9617700585408
"weekly",NA,"Precision for week_dev","Hyperparameter",21.5046695674088,15.1638207328451,30.0424003388195,21.788773232694,3.79129518986335
"weekly",NA,"Precision for week_dev_country","Hyperparameter",3.67307383503004,3.16683584223291,4.28115255629784,3.68615968871773,0.283168021391767
"weekly",NA,"Precision for yearx","Hyperparameter",1.35676678170081,1.0411534445412,1.69988979141711,1.36079030332763,0.167879310683366
"weekly",NA,"Rho for yearx","Hyperparameter",-0.10714129441707,-0.276785142342491,0.0462189275527169,-0.109133715242106,0.0823412771452362
"weekly",NA,"Precision for countryx","Hyperparameter",0.0947065088755301,0.0751957871377498,0.125039637712992,0.0960647085598194,0.0127229781305809
