"model","Parameter","Type","Median","CI_0.025","CI_0.975","Mean","SD"
"weekly","(Intercept)","Fixed effect",0.878330499370232,0.684384732864133,1.07032201343178,0.878077054097757,0.0983810914321931
"weekly","size for the nbinomial observations (1/overdispersion)","Hyperparameter",21.4923113961414,19.5673474574847,23.6431578857808,21.5213934691966,1.03539173526128
"weekly","Precision for time_seq","Hyperparameter",0.31077584457458,0.278049430588131,0.344429655602269,0.310905031818182,0.0168713080416231
"weekly","Rho for time_seq","Hyperparameter",0.980031976855636,0.97774093116795,0.982257306320584,0.980022792195058,0.00114800469500461
"weekly","Precision for week_shared","Hyperparameter",171.000927382549,83.6069272437574,358.447988120522,183.741107783197,70.9617700585408
"weekly","Precision for week_dev","Hyperparameter",21.5046695674088,15.1638207328451,30.0424003388195,21.788773232694,3.79129518986335
"weekly","Precision for week_dev_country","Hyperparameter",3.67307383503004,3.16683584223291,4.28115255629784,3.68615968871773,0.283168021391767
"weekly","Precision for yearx","Hyperparameter",1.35676678170081,1.0411534445412,1.69988979141711,1.36079030332763,0.167879310683366
"weekly","Rho for yearx","Hyperparameter",-0.10714129441707,-0.276785142342491,0.0462189275527169,-0.109133715242106,0.0823412771452362
"weekly","Precision for countryx","Hyperparameter",0.0947065088755301,0.0751957871377498,0.125039637712992,0.0960647085598194,0.0127229781305809
"monthly","(Intercept)","Fixed effect",2.05248748791949,1.87582552495377,2.22706654120243,2.05221667001717,0.0895447352287194
"monthly","size for the nbinomial observations (1/overdispersion)","Hyperparameter",204.197615750292,148.839676952843,280.221645949648,206.858598949865,33.4598723023852
"monthly","Precision for time_seq","Hyperparameter",0.285856360782107,0.260583591387331,0.309952048977254,0.285722457208115,0.0125605435914866
"monthly","Rho for time_seq","Hyperparameter",0.931548637488368,0.92566709333779,0.937742121883804,0.931584336196819,0.00307248549077695
"monthly","Precision for month_shared","Hyperparameter",307.649764678957,58.4889191265133,2189.23251509643,504.225326036174,668.156317525137
"monthly","Precision for month_dev","Hyperparameter",10.4146098630031,6.55068789572903,16.4489312639486,10.693809823075,2.52908130955385
"monthly","Precision for month_dev_country","Hyperparameter",2.39549148143508,2.04757180809056,2.72965850061795,2.39418668781965,0.173915043624614
"monthly","Precision for yearx","Hyperparameter",5.1556927772318,3.71941620603665,7.03418462163739,5.21295800523798,0.84438336745988
"monthly","Rho for yearx","Hyperparameter",-0.706742156603496,-0.797047256684765,-0.568329071352129,-0.70060019105432,0.0583763469207316
"monthly","Precision for countryx","Hyperparameter",0.0910438628294464,0.0733040514620415,0.116606383771646,0.0920349843420139,0.0110285925566888
"disaggregation","(Intercept)","Fixed effect",-0.309695141769989,-0.611417461137893,-0.0105175451969199,-0.310025665754838,0.153175822630506
"disaggregation","size for the nbinomial observations (1/overdispersion)","Hyperparameter",219.373818076799,160.132282086713,299.279317837616,222.03723252772,35.4366012179937
"disaggregation","Precision for time_seq","Hyperparameter",0.352108194278085,0.313374394889747,0.393102202266642,0.352406578628399,0.0202596272384702
"disaggregation","Rho for time_seq","Hyperparameter",0.919318441568862,0.909683143477987,0.928419617085346,0.919248033206699,0.00476117369693309
"disaggregation","Precision for month_shared","Hyperparameter",204.947420134274,46.9368147455685,1133.0000262944,298.584183488868,318.139333760388
"disaggregation","Precision for month_dev","Hyperparameter",10.2602497729915,6.60717606658427,16.2594003473433,10.5605277306665,2.46544756509078
"disaggregation","Precision for month_dev_country","Hyperparameter",2.30173865200359,2.01894363957043,2.64253196998858,2.30916697527373,0.158452306868918
"disaggregation","Precision for yearx","Hyperparameter",0.0898185350492405,0.0756455546340908,0.105847791516187,0.0900598245498367,0.00767750269458864
"disaggregation","Rho for yearx","Hyperparameter",0.905636098467827,0.887885651916545,0.921389369195396,0.905376064679546,0.00851801847889441
"disaggregation","Precision for countryx","Hyperparameter",0.0469318451122226,0.0377992682861921,0.0581080911202702,0.0471955221480711,0.00516462635591712
