"scope","Year","dengue_total","lwr","upr"
"global",NA,74018948,73799831,74477564
"annual",1990,439938,342546,812993
"annual",1991,479853,479853,479853
"annual",1992,252480,252480,252480
"annual",1993,269057,269057,269057
"annual",1994,393352,393348,393356
"annual",1995,569514,569512,569515
"annual",1996,538547,538547,538548
"annual",1997,705007,705007,705007
"annual",1998,1306932,1306932,1306932
"annual",1999,444297,444297,444297
"annual",2000,512681,512681,512681
"annual",2001,999172,999172,999172
"annual",2002,1312651,1312651,1312651
"annual",2003,818071,818071,818071
"annual",2004,584654,584654,584654
"annual",2005,802703,802703,802703
"annual",2006,948654,948654,948654
"annual",2007,1420722,1420722,1420722
"annual",2008,1411265,1411193,1411337
"annual",2009,1647367,1647367,1647367
"annual",2010,2418315,2418300,2418330
"annual",2011,1557471,1557285,1557657
"annual",2012,1823186,1823172,1823200
"annual",2013,3322998,3322998,3322998
"annual",2014,1872749,1872064,1873435
"annual",2015,3502798,3502159,3504197
"annual",2016,3919043,3919043,3919043
"annual",2017,1891116,1884322,1897912
"annual",2018,1654515,1654264,1654913
"annual",2019,5121169,5119187,5123139
"annual",2020,3209533,3208855,3210308
"annual",2021,2162674,2158626,2168226
"annual",2022,4440217,4415203,4465568
"annual",2023,6604365,6602303,6606939
"annual",2024,14661882,14520324,14997373
