"runs","draws","w_est","w_oth","d_est_pct","d_oth_pct"
1,100,201,135,NA,NA
2,200,191.5,140,4.72636815920398,3.7037037037037
3,300,171,142,10.7049608355091,1.42857142857143
4,400,175.5,142,2.63157894736842,0
5,500,166,142,5.41310541310541,0
