"scope","Year","dengue_total","lwr","upr"
"global",NA,74014211,73801740,74591242
"annual",1990,426377,342343,861651
"annual",1991,479853,479853,479853
"annual",1992,252480,252480,252480
"annual",1993,269057,269057,269057
"annual",1994,393356,393355,393357
"annual",1995,569513,569512,569514
"annual",1996,538548,538547,538549
"annual",1997,705007,705007,705007
"annual",1998,1306932,1306932,1306932
"annual",1999,444297,444297,444297
"annual",2000,512681,512681,512681
"annual",2001,999172,999172,999172
"annual",2002,1312651,1312651,1312651
"annual",2003,818071,818071,818071
"annual",2004,584654,584654,584654
"annual",2005,802703,802703,802703
"annual",2006,948654,948654,948654
"annual",2007,1420722,1420722,1420722
"annual",2008,1411219,1411214,1411224
"annual",2009,1647367,1647367,1647367
"annual",2010,2418270,2418266,2418273
"annual",2011,1557244,1557240,1557249
"annual",2012,1823190,1823188,1823193
"annual",2013,3322998,3322998,3322998
"annual",2014,1876690,1872185,1881196
"annual",2015,3502857,3502201,3504606
"annual",2016,3919043,3919043,3919043
"annual",2017,1888918,1883468,1894370
"annual",2018,1654289,1653756,1654871
"annual",2019,5120671,5120470,5121164
"annual",2020,3213247,3208545,3218138
"annual",2021,2165783,2159014,2173364
"annual",2022,4416194,4407349,4425228
"annual",2023,6602706,6598694,6607301
"annual",2024,14688797,14517265,15046230
